model,strategy,deg_type_trained,eval_degradation,eval_severity,mean,std,count,formatted
resnet18,single,gaussian_blur,motion_blur,1,86.674,0.6665433219228912,5,86.67 ± 0.67
resnet18,single,gaussian_blur,motion_blur,2,83.958,0.687800843267873,5,83.96 ± 0.69
resnet18,single,gaussian_blur,motion_blur,3,77.74600000000001,0.6810506589087238,5,77.75 ± 0.68
resnet18,single,gaussian_noise,clean,0,93.06800000000001,0.1388164255410733,5,93.07 ± 0.14
resnet18,single,gaussian_noise,contrast,1,92.404,0.1308816259067736,5,92.40 ± 0.13
resnet18,single,gaussian_noise,contrast,2,89.378,0.43424647379109504,5,89.38 ± 0.43
resnet18,single,gaussian_noise,contrast,3,75.884,1.6490694345599906,5,75.88 ± 1.65
resnet18,single,gaussian_noise,darkening,1,92.326,0.1264120247444818,5,92.33 ± 0.13
resnet18,single,gaussian_noise,darkening,2,89.616,0.1890238080242834,5,89.62 ± 0.19
resnet18,single,gaussian_noise,darkening,3,76.752,1.022677857392056,5,76.75 ± 1.02
resnet18,single,gaussian_noise,gaussian_blur,1,67.02000000000001,1.0514276009312258,5,67.02 ± 1.05
resnet18,single,gaussian_noise,gaussian_blur,2,26.406,1.8759477604666916,5,26.41 ± 1.88
resnet18,single,gaussian_noise,gaussian_blur,3,20.598000000000003,1.3928998528250318,5,20.60 ± 1.39
resnet18,single,gaussian_noise,gaussian_noise,1,92.954,0.11523888232710382,5,92.95 ± 0.12
resnet18,single,gaussian_noise,gaussian_noise,2,92.326,0.19756011743264543,5,92.33 ± 0.20
resnet18,single,gaussian_noise,gaussian_noise,3,90.216,0.2569630323606922,5,90.22 ± 0.26
resnet18,single,gaussian_noise,jpeg,1,89.438,0.11144505372604281,5,89.44 ± 0.11
resnet18,single,gaussian_noise,jpeg,2,86.83,0.21943108257491747,5,86.83 ± 0.22
resnet18,single,gaussian_noise,jpeg,3,71.19200000000001,0.29252350332921745,5,71.19 ± 0.29
resnet18,single,gaussian_noise,motion_blur,1,86.058,0.5091856243061046,5,86.06 ± 0.51
resnet18,single,gaussian_noise,motion_blur,2,68.43199999999999,0.7323387194461335,5,68.43 ± 0.73
resnet18,single,gaussian_noise,motion_blur,3,52.254,0.6546220283491831,5,52.25 ± 0.65
